team,proj.points,gd,type1,type2,typex,type3,off.rank,def.rank,qualitat,league
/Barcelona,82.4821,51.31726969791629,64.03999999999999,99.31,0.67,0,2.1742167201902713,0.9000431231378223,85.48347194104899,primera
/Real-Madrid,76.5209,38.09844243193096,24.44,94.55,5.08,0,1.8182054692598666,0.8674438907927868,79.0152315693416,primera
/Atletico-Madrid,71.8963,28.176720799232942,9.36,84.2,13.59,0,1.4063772226189062,0.7017644525897786,74.09225540058256,primera
/Villarreal,62.4482,15.41465455120821,0.9299999999999999,39.22,40.11,0.06,1.5810811178827247,1.1765032779607063,68.09155679844037,primera
/Sevilla,61.3249,13.13894969395278,0.7100000000000001,32.92,41.69,0.12,1.3957610553841522,1.0497799642993133,66.91962182169678,primera
/Real-Sociedad,56.2378,5.438909050678313,0.27,13.450000000000001,35.699999999999996,0.65,1.3637592280960344,1.202039578450081,63.23439299291907,primera
/Valencia-Cf,55.0296,3.7638083638511053,0.11,9.969999999999999,33.160000000000004,0.8699999999999999,1.278497546646122,1.15870589473733,62.39583303817584,primera
/Granada,54.0438,1.9252428000843818,0.06999999999999999,8.18,29.360000000000003,1.37,1.3201943907573341,1.2432382104219486,61.53912360670772,primera
/Athletic-Bilbao,53.3817,2.112067144064817,0.03,6.47,27.150000000000002,1.7399999999999998,1.0661199567424946,0.9906915405204013,61.50856832444187,primera
/Getafe,52.2407,0.5843104417911476,0,5.27,23.21,1.8499999999999999,0.9913599103195958,0.9541007955668915,60.745182295054086,primera
/Celta,50.1383,-3.785489271771494,0.01,3.1399999999999997,16.96,3.93,1.155773983537908,1.2187865782775429,58.7397481052073,primera
/Levante,48.1424,-7.622509595404755,0.03,1.81,12.41,6.45,1.2823003911194135,1.43377920549871,56.970423712414075,primera
/Betis,44.7949,-12.940704584820047,0,0.58,5.970000000000001,13.459999999999999,1.171849253258554,1.45267157448894,54.383553575392284,primera
/Cadiz,43.7435,-8.487407523125206,0,0.27999999999999997,4.22,15.690000000000001,0.637694197985765,0.8249575323653979,56.25473331240734,primera
/Eibar,43.5542,-13.669710798913071,0,0.33,4.41,17.5,1.036152874334002,1.3375428542989725,53.972200400700594,primera
/Osasuna,43.1657,-14.60852020783592,0,0.25,4.21,18.47,1.0539720672710335,1.3773164430843479,53.53311248373372,primera
/Valladolid,37.9521,-18.217908911857403,0,0.05,0.76,42.699999999999996,0.6909552391139944,1.108863334392491,51.641838094430064,primera
/Huesca,37.7615,-26.605571903369544,0,0,0.74,44.45,1.1617389325494685,1.7684618334230324,47.865541982528725,primera
/Alaves,37.6814,-22.658824662722104,0,0.02,0.6,45.64,0.9088003052962867,1.4274173431580799,49.62765924276414,primera
/Elche,29.9416,-31.373727514891403,0,0,0,85.05,0.6101177968055602,1.3434594803574567,45.33316632896208,primera
/Leganes,74.1196,23.567358351194883,50.660000000000004,84.1,15.459999999999999,0.01,1.0912017382244708,0.6006249161877006,69.81153644073541,segunda
/Almeria,70.832,20.85019858987081,33.81,71,21.11,0.24,1.3405683433524427,0.9185187963382337,68.44099094028418,segunda
/Sporting-Gijon,66.7414,14.537875686567412,17.59,53.339999999999996,23.369999999999997,0.52,1.1405141627071895,0.8528029856845272,65.75422354045324,segunda
/Malaga,66.2442,13.33222725125603,14.97,50.9,25.21,0.45999999999999996,0.8841590520105784,0.6151481802221517,65.38021743576854,segunda
/Espanyol,66.406,14.580572099952334,16.55,50.36000000000001,23.080000000000002,0.6799999999999999,1.334128716954243,1.0516414778120937,65.64974478284299,segunda
/Mallorca,66.1578,14.002352197908039,15.809999999999999,50.239999999999995,24.02,0.59,1.2085644348735622,0.934962204631867,65.47204460483391,segunda
/Girona-Fc,64.4338,11.447646683167056,11.16,41.67,23.73,1.21,1.124638411565119,0.9053107906298932,64.38655241870451,segunda
/Ad-Alcorcon,63.2597,10.194251825547472,8.690000000000001,35.339999999999996,21.68,2.03,1.2861878869421373,1.0999549593490232,63.72465855186228,segunda
/Real-Oviedo,62.7436,9.142715964449454,8.15,34.01,20.46,2.1399999999999997,1.1514972761998505,0.984409805136483,63.34174942126735,segunda
/Tenerife,61.8112,7.842864657042019,6.1899999999999995,29.92,19.89,2.4,1.054453276384795,0.9132477371364773,62.82411078496635,segunda
/Fuenlabrada,60.1117,5.8577694090132955,4.05,21.54,16.400000000000002,3.47,0.9747737091000852,0.8752800046905875,61.98987408818995,segunda
/Rayo-Vallecano,59.8967,4.8633068317974555,4.32,21.83,16.09,4.2,1.250199658890422,1.181660655096428,61.37078007587988,segunda
/Ud-Palmas,58.425,3.2611259098526846,2.98,16.68,13.11,5.390000000000001,1.0256215227055878,0.9856362516752313,60.79970542060713,segunda
/Real-Zaragoza,57.1189,-0.0030885218695324568,2.16,13.780000000000001,11.37,7.739999999999999,1.3927881763573053,1.4372830682569626,59.110102162006854,segunda
/Mirandes,54.4946,-3.4984076510535562,0.9400000000000001,7.969999999999999,7.1499999999999995,13.66,1.2469587220913478,1.3647226161766117,57.64472211829472,segunda
/Albacete,54.5323,-2.284615734277261,1.01,7.430000000000001,7.109999999999999,13.33,1.0079159836267215,1.0909962280310326,58.33839511191378,segunda
/Ponferradina-Sd,52.1018,-5.788910172207601,0.49,4.109999999999999,4.31,20.630000000000003,1.0050634605224582,1.166173355598921,56.777802098470744,segunda
/Lugo,51.4157,-7.484616768580177,0.26,3.58,3.9800000000000004,22.93,1.0178762243605137,1.2171969086107541,56.01358631499519,segunda
/Ud-Logrones,49.6091,-8.329672139245307,0.21,2,2.21,30.12,0.8240414546621979,1.0360180281497953,55.760468530248055,segunda
